week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2011-08-21 00:00:00+00:00,72,3307.625,2.187082627849359,5,3390.0,1.3321790402101223,10,5468.4,1.7480673485460894,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-08-28 00:00:00+00:00,68,2941.764705882353,2.1391900096578125,6,2762.5,1.0986122886681096,6,1975.0,1.329661348854758,0.3333333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2011-09-04 00:00:00+00:00,69,3079.144927536232,2.1287088639850005,7,3467.285714285714,1.4750763110546947,8,1562.5,1.3208883431493221,0.5714285714285714,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2011-09-11 00:00:00+00:00,73,3357.6849315068494,2.1353860367922914,12,3762.5,1.583258459420477,5,2160.0,1.3321790402101223,0.5833333333333334,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2011-09-18 00:00:00+00:00,77,3693.6493506493507,2.194561379655493,9,5566.666666666667,1.8310204811135165,10,3306.6,1.8343719702816235,0.4444444444444444,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-09-25 00:00:00+00:00,82,3835.231707317073,2.1898183147267383,15,4209.6,1.67458956699991,14,3292.8571428571427,1.6731183626432509,0.5333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-10-02 00:00:00+00:00,76,4016.3026315789475,2.2082490211664285,8,4606.25,1.559581156259877,8,3721.875,1.7328679513998633,0.125,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2011-10-09 00:00:00+00:00,79,3971.3797468354433,2.1638031441845214,11,3479.5454545454545,1.8462202193216335,6,2475.0,1.242453324894,0.2727272727272727,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-10-16 00:00:00+00:00,83,4049.265060240964,2.1607559292957808,10,3720.0,1.6957425341696346,9,2366.5555555555557,1.6769877743224175,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-10-23 00:00:00+00:00,85,4146.941176470588,2.1540882005812354,11,3427.2727272727275,1.6726254461503207,9,2844.4444444444443,1.1490596969706204,0.5454545454545454,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2011-10-30 00:00:00+00:00,85,4030.470588235294,2.1342616683710567,9,1744.4444444444443,1.2730283365896258,11,3418.181818181818,1.8462202193216335,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,0,0,0,0
2011-11-06 00:00:00+00:00,83,3861.2168674698796,2.127771322662891,9,1721.2222222222222,1.6769877743224175,8,2424.375,1.559581156259877,0.3333333333333333,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2011-11-13 00:00:00+00:00,87,3764.4367816091954,2.199903692232297,12,2201.6666666666665,1.7917594692280554,8,3583.125,1.4941751382893085,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-11-20 00:00:00+00:00,90,3712.3444444444444,2.1448293198574584,11,3206.3636363636365,1.4681399390162087,6,2908.3333333333335,1.5607104090414063,0.7272727272727273,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-11-27 00:00:00+00:00,95,3652.9684210526316,2.154641506294129,11,2761.0,1.7201934592198251,14,4052.1428571428573,2.0692024658203625,0.6363636363636364,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2011-12-04 00:00:00+00:00,95,3429.4947368421053,2.0872872905840185,14,2535.714285714286,1.8711604142318063,10,2999.0,1.6957425341696346,0.35714285714285715,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2011-12-11 00:00:00+00:00,94,3387.0425531914893,2.0774855276095336,9,2507.777777777778,1.7351264569629228,18,3861.1111111111113,1.831020481113516,0.5555555555555556,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-12-18 00:00:00+00:00,85,3398.6117647058823,2.0708201869290854,9,4444.444444444444,1.5229550675313184,12,4127.5,1.6987829895138011,0.2222222222222222,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-01-01 00:00:00+00:00,67,3196.6417910447763,2.195386921210321,9,1954.7777777777778,1.8310204811135165,12,1992.9166666666667,1.979204517434325,0.4444444444444444,2,1,0,0,0,1,0,0,0,1,0,0,1,0
2012-01-08 00:00:00+00:00,71,3388.943661971831,2.147283148170304,16,3147.1875,1.6674619334292948,11,2865.5454545454545,1.6417347121875214,0.625,2,1,0,0,0,0,0,0,0,0,0,0,1,0
